model,accuracy,macro_precision,macro_recall,macro_f1,training_time_seconds,prediction_time_seconds
Linear SVM,0.9637305699481865,0.9643844270709944,0.9637637273901808,0.9638177917477423,0.6255084469994472,0.094437095000103
Logistic Regression,0.9533678756476683,0.9538955018050203,0.9534278100775193,0.9531951481954987,2.084083635998468,0.15954296400013845
Multinomial Naive Bayes,0.9455958549222798,0.9477657004830918,0.9456758720930232,0.9458523952749062,0.49845050200019614,0.05226629799835791
